name,age,height,position,number
채치수,19,197,C,4
권준호,19,178,SF,5
이달재,18,165,PG,6
송태섭,18,168,PG,7
신오일,18,170,SG,8
정병욱,18,180,C,9
강백호,17,189.2,PF,10
서태웅,17,187,SF,11
이호식,17,163,F,12
이재룡,17,170,F,13
정대만,19,184,SG,14
오중식,17,160,F,15
이정환,19,184,PG,4
고민구,19,191,C,5
신준섭,18,189,SG,6
김동식,19,184,PF,9
전호장,17,178,SF,10
홍익현,19,160,SG,15
변덕규,19,202,C,4
허태환,19,183,SF,5
안영수,18,174,SG,6
윤대협,18,190,SF,7
백정태,18,170,PG,8
황태산,18,188,PF,13
박경태,17,165,PG,15
김수겸,19,178,PG,4
성현준,19,197,C,5
장권혁,19,190,SF,6
임택중,19,191,PF,7
오창석,19,193,PF,8
심준섭,18,180,SG,9
남훈,19,184,SF,4
강동준,19,188,PF,5
나대룡,18,183,PG,6
김평일,19,180,SG,7
한성호,19,190,C,8
천귀남,17,181,SF,15
이명헌,19,180,PG,4
정성구,19,198,PF,5
최동오,19,185,SG,6
신현철,19,194,C,7
김낙수,19,171,SG,8
정우성,18,186,SF,9
신현필,17,210,C,15
